book,chapter,verse,text
Matthew,6,10,"Thy kingdom come, Thy will be done in earth, as it is in heaven."
Matthew,6,11,Give us this day our daily bread.
Matthew,6,12,"And forgive us our debts, as we forgive our debtors."
Matthew,6,13,"And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen."
Matthew,6,14,"For if ye forgive men their trespasses, your heavenly Father will also forgive you:"
Matthew,6,15,"But if ye forgive not men their trespasses, neither will your Father forgive your trespasses."
Matthew,6,16,"Moreover when ye fast, be not, as the hypocrites, of a sad countenance: for they disfigure their faces, that they may appear unto men to fast. Verily I say unto you, They have their reward."
Matthew,6,17,"But thou, when thou fastest, anoint thine head, and wash thy face;"
Matthew,6,18,"That thou appear not unto men to fast, but unto thy Father which is in secret: and thy Father, which seeth in secret, shall reward thee openly."
Matthew,6,19,"Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt, and where thieves break through and steal:"
Matthew,6,20,"But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal:"
Matthew,6,21,"For where your treasure is, there will your heart be also."
Matthew,6,22,"The light of the body is the eye: if therefore thine eye be single, thy whole body shall be full of light."
Matthew,6,23,"But if thine eye be evil, thy whole body shall be full of darkness. If therefore the light that is in thee be darkness, how great is that darkness!"
Matthew,6,24,"No man can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other. Ye cannot serve God and mammon."
Matthew,6,25,"Therefore I say unto you, Take no thought for your life, what ye shall eat, or what ye shall drink; nor yet for your body, what ye shall put on. Is not the life more than meat, and the body than raiment?"
Matthew,6,26,"Behold the fowls of the air: for they sow not, neither do they reap, nor gather into barns; yet your heavenly Father feedeth them. Are ye not much better than they?"
Matthew,6,27,Which of you by taking thought can add one cubit unto his stature?
Matthew,6,28,"And why take ye thought for raiment? Consider the lilies of the field, how they grow; they toil not, neither do they spin:"
Matthew,6,29,"And yet I say unto you, That even Solomon in all his glory was not arrayed like one of these."
Matthew,6,30,"Wherefore, if God so clothe the grass of the field, which to day is, and to morrow is cast into the oven, shall he not much more clothe you, O ye of little faith?"
Matthew,6,31,"Therefore take no thought, saying, What shall we eat? or, What shall we drink? or, Wherewithal shall we be clothed?"
Matthew,6,32,(For after all these things do the Gentiles seek:) for your heavenly Father knoweth that ye have need of all these things.
Matthew,6,33,"But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you."
Matthew,6,34,Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself. Sufficient unto the day is the evil thereof.
Matthew,7,1,"Judge not, that ye be not judged."
Matthew,7,2,"For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured to you again."
Matthew,7,3,"And why beholdest thou the mote that is in thy brother's eye, but considerest not the beam that is in thine own eye?"
Matthew,7,4,"Or how wilt thou say to thy brother, Let me pull out the mote out of thine eye; and, behold, a beam is in thine own eye?"
Matthew,7,5,"Thou hypocrite, first cast out the beam out of thine own eye; and then shalt thou see clearly to cast out the mote out of thy brother's eye."
Matthew,7,6,"Give not that which is holy unto the dogs, neither cast ye your pearls before swine, lest they trample them under their feet, and turn again and rend you."
Matthew,7,7,"Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:"
Matthew,7,8,For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.
Matthew,7,9,"Or what man is there of you, whom if his son ask bread, will he give him a stone?"
Matthew,7,10,"Or if he ask a fish, will he give him a serpent?"
Matthew,7,11,"If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?"
Matthew,7,12,"Therefore all things whatsoever ye would that men should do to you, do ye even so to them: for this is the law and the prophets."
Matthew,7,13,"Enter ye in at the strait gate: for wide is the gate, and broad is the way, that leadeth to destruction, and many there be which go in thereat:"
Matthew,7,14,"Because strait is the gate, and narrow is the way, which leadeth unto life, and few there be that find it."
Matthew,7,15,"Beware of false prophets, which come to you in sheep's clothing, but inwardly they are ravening wolves."
Matthew,7,16,"Ye shall know them by their fruits. Do men gather grapes of thorns, or figs of thistles?"
Matthew,7,17,Even so every good tree bringeth forth good fruit; but a corrupt tree bringeth forth evil fruit.
Matthew,7,18,"A good tree cannot bring forth evil fruit, neither can a corrupt tree bring forth good fruit."
Matthew,7,19,"Every tree that bringeth not forth good fruit is hewn down, and cast into the fire."
Matthew,7,20,Wherefore by their fruits ye shall know them.
Matthew,7,21,"Not every one that saith unto me, Lord, Lord, shall enter into the kingdom of heaven; but he that doeth the will of my Father which is in heaven."
Matthew,7,22,"Many will say to me in that day, Lord, Lord, have we not prophesied in thy name? and in thy name have cast out devils? and in thy name done many wonderful works?"
Matthew,7,23,"And then will I profess unto them, I never knew you: depart from me, ye that work iniquity."
Matthew,7,24,"Therefore whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man, which built his house upon a rock:"
Matthew,7,25,"And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon a rock."
Matthew,7,26,"And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand:"
Matthew,7,27,"And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell: and great was the fall of it."
Matthew,8,3,"I will; be thou clean."
Matthew,8,4,"See thou tell no man; but go thy way, shew thyself to the priest, and offer the gift that Moses commanded, for a testimony unto them."
Matthew,8,7,"I will come and heal him."
Matthew,8,10,"Verily I say unto you, I have not found so great faith, no, not in Israel."
Matthew,8,11,"And I say unto you, That many shall come from the east and west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven."
Matthew,8,12,But the children of the kingdom shall be cast out into outer darkness: there shall be weeping and gnashing of teeth.
Matthew,8,13,"Go thy way; and as thou hast believed, so be it done unto thee."
Matthew,8,20,"The foxes have holes, and the birds of the air have nests; but the Son of man hath not where to lay his head."
Matthew,8,22,"Follow me; and let the dead bury their dead."
Matthew,8,26,"Why are ye fearful, O ye of little faith?"
Matthew,8,32,"Go."
Matthew,9,2,"Son, be of good cheer; thy sins be forgiven thee."
Matthew,9,4,"Wherefore think ye evil in your hearts?"
Matthew,9,5,"For whether is easier, to say, Thy sins be forgiven thee; or to say, Arise, and walk?"
Matthew,9,6,"But that ye may know that the Son of man hath power on earth to forgive sins, Arise, take up thy bed, and go unto thine house."
Matthew,9,9,"Follow me."
Matthew,9,12,"They that be whole need not a physician, but they that are sick."
Matthew,9,13,"But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance."
Matthew,9,15,"Can the children of the bridechamber mourn, as long as the bridegroom is with them? but the days will come, when the bridegroom shall be taken from them, and then shall they fast."
Matthew,9,16,"No man putteth a piece of new cloth unto an old garment, for that which is put in to fill it up taketh from the garment, and the rent is made worse."
Matthew,9,17,"Neither do men put new wine into old bottles: else the bottles break, and the wine runneth out, and the bottles perish: but they put new wine into new bottles, and both are preserved."
Matthew,9,22,"Daughter, be of good comfort; thy faith hath made thee whole."
Matthew,9,24,"Give place: for the maid is not dead, but sleepeth."
Matthew,9,28,"Believe ye that I am able to do this?"
Matthew,9,29,"According to your faith be it unto you."
Matthew,9,30,"See that no man know it."
Matthew,9,37,"Then saith he unto his disciples, The harvest truly is plenteous, but the labourers are few;"
Matthew,9,38,"Pray ye therefore the Lord of the harvest, that he will send forth labourers into his harvest."
Matthew,10,5,"These twelve Jesus sent forth, and commanded them, saying, Go not into the way of the Gentiles, and into any city of the Samaritans enter ye not:"
Matthew,10,6,But go rather to the lost sheep of the house of Israel.
Matthew,10,7,"And as ye go, preach, saying, The kingdom of heaven is at hand."
Matthew,10,8,"Heal the sick, cleanse the lepers, raise the dead, cast out devils: freely ye have received, freely give."
Matthew,10,9,"Provide neither gold, nor silver, nor brass in your purses,"
Matthew,10,10,"Nor scrip for your journey, neither two coats, neither shoes, nor yet staves: for the workman is worthy of his meat."
Matthew,10,11,"And into whatsoever city or town ye shall enter, enquire who in it is worthy; and there abide till ye go thence."
Matthew,10,12,"And when ye come into an house, salute it."
Matthew,10,13,"And if the house be worthy, let your peace come upon it: but if it be not worthy, let your peace return to you."
Matthew,10,14,"And whosoever shall not receive you, nor hear your words, when ye depart out of that house or city, shake off the dust of your feet."
Matthew,10,15,"Verily I say unto you, It shall be more tolerable for the land of Sodom and Gomorrha in the day of judgment, than for that city."
Matthew,10,16,"Behold, I send you forth as sheep in the midst of wolves: be ye therefore wise as serpents, and harmless as doves."
Matthew,10,17,"But beware of men: for they will deliver you up to the councils, and they will scourge you in their synagogues;"
Matthew,10,18,"And ye shall be brought before governors and kings for my sake, for a testimony against them and the Gentiles."
Matthew,10,19,"But when they deliver you up, take no thought how or what ye shall speak: for it shall be given you in that same hour what ye shall speak."
Matthew,10,20,"For it is not ye that speak, but the Spirit of your Father which speaketh in you."
Matthew,10,21,"And the brother shall deliver up the brother to death, and the father the child: and the children shall rise up against their parents, and cause them to be put to death."
Matthew,10,22,And ye shall be hated of all men for my name's sake: but he that endureth to the end shall be saved.
Matthew,10,23,"But when they persecute you in this city, flee ye into another: for verily I say unto you, Ye shall not have gone over the cities of Israel, till the Son of man be come."
Matthew,10,24,"The disciple is not above his master, nor the servant above his lord."
Matthew,10,25,"It is enough for the disciple that he be as his master, and the servant as his lord. If they have called the master of the house Beelzebub, how much more shall they call them of his household?"
Matthew,10,26,"Fear them not therefore: for there is nothing covered, that shall not be revealed; and hid, that shall not be known."
Matthew,10,27,"What I tell you in darkness, that speak ye in light: and what ye hear in the ear, that preach ye upon the housetops."
Matthew,10,28,"And fear not them which kill the body, but are not able to kill the soul: but rather fear him which is able to destroy both soul and body in hell."
Matthew,10,29,Are not two sparrows sold for a farthing? and one of them shall not fall on the ground without your Father.
Matthew,10,30,But the very hairs of your head are all numbered.
Matthew,10,31,"Fear ye not therefore, ye are of more value than many sparrows."
Matthew,10,32,"Whosoever therefore shall confess me before men, him will I confess also before my Father which is in heaven."
Matthew,10,33,"But whosoever shall deny me before men, him will I also deny before my Father which is in heaven."
Matthew,10,34,"Think not that I am come to send peace on earth: I came not to send peace, but a sword."
Matthew,10,35,"For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law."
Matthew,10,36,And a man's foes shall be they of his own household.
Matthew,10,37,He that loveth father or mother more than me is not worthy of me: and he that loveth son or daughter more than me is not worthy of me.
Matthew,10,38,"And he that taketh not his cross, and followeth after me, is not worthy of me."
Matthew,10,39,He that findeth his life shall lose it: and he that loseth his life for my sake shall find it.
Matthew,10,40,"He that receiveth you receiveth me, and he that receiveth me receiveth him that sent me."
Matthew,10,41,He that receiveth a prophet in the name of a prophet shall receive a prophet's reward; and he that receiveth a righteous man in the name of a righteous man shall receive a righteous man's reward.
Matthew,10,42,"And whosoever shall give to drink unto one of these little ones a cup of cold water only in the name of a disciple, verily I say unto you, he shall in no wise lose his reward."
Matthew,11,4,"Go and shew John again those things which ye do hear and see:"
Matthew,11,5,"The blind receive their sight, and the lame walk, the lepers are cleansed, and the deaf hear, the dead are raised up, and the poor have the gospel preached to them."
Matthew,11,6,"And blessed is he, whosoever shall not be offended in me."
Matthew,11,7,"What went ye out into the wilderness to see? A reed shaken with the wind?"
Matthew,11,8,"But what went ye out for to see? A man clothed in soft raiment? behold, they that wear soft clothing are in kings' houses."
Matthew,11,9,"But what went ye out for to see? A prophet? yea, I say unto you, and more than a prophet."
Matthew,11,10,"For this is he, of whom it is written, Behold, I send my messenger before thy face, which shall prepare thy way before thee."
Matthew,11,11,"Verily I say unto you, Among them that are born of women there hath not risen a greater than John the Baptist: notwithstanding he that is least in the kingdom of heaven is greater than he."
Matthew,11,12,"And from the days of John the Baptist until now the kingdom of heaven suffereth violence, and the violent take it by force."
Matthew,11,13,For all the prophets and the law prophesied until John.
Matthew,11,14,"And if ye will receive it, this is Elias, which was for to come."
Matthew,11,15,"He that hath ears to hear, let him hear."
Matthew,11,16,"But whereunto shall I liken this generation? It is like unto children sitting in the markets, and calling unto their fellows,"
Matthew,11,17,"And saying, We have piped unto you, and ye have not danced; we have mourned unto you, and ye have not lamented."
Matthew,11,18,"For John came neither eating nor drinking, and they say, He hath a devil."
Matthew,11,19,"The Son of man came eating and drinking, and they say, Behold a man gluttonous, and a winebibber, a friend of publicans and sinners. But wisdom is justified of her children."
Matthew,11,21,"Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works, which were done in you, had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes."
Matthew,11,22,"But I say unto you, It shall be more tolerable for Tyre and Sidon at the day of judgment, than for you."
Matthew,11,23,"And thou, Capernaum, which art exalted unto heaven, shalt be brought down to hell: for if the mighty works, which have been done in thee, had been done in Sodom, it would have remained until this day."
Matthew,11,24,"But I say unto you, That it shall be more tolerable for the land of Sodom in the day of judgment, than for thee."
Matthew,11,25,"I thank thee, O Father, Lord of heaven and earth, because thou hast hid these things from the wise and prudent, and hast revealed them unto babes."
Matthew,11,26,"Even so, Father: for so it seemed good in thy sight."
Matthew,11,27,"All things are delivered unto me of my Father: and no man knoweth the Son, but the Father; neither knoweth any man the Father, save the Son, and he to whomsoever the Son will reveal him."
Matthew,11,28,"Come unto me, all ye that labour and are heavy laden, and I will give you rest."
Matthew,11,29,"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls."
Matthew,11,30,"For my yoke is easy, and my burden is light."
Matthew,12,3,"Have ye not read what David did, when he was an hungred, and they that were with him;"
Matthew,12,4,"How he entered into the house of God, and did eat the shewbread, which was not lawful for him to eat, neither for them which were with him, but only for the priests?"
Matthew,12,5,"Or have ye not read in the law, how that on the sabbath days the priests in the temple profane the sabbath, and are blameless?"
Matthew,12,6,"But I say unto you, That in this place is one greater than the temple."
Matthew,12,7,"But if ye had known what this meaneth, I will have mercy, and not sacrifice, ye would not have condemned the guiltless."
Matthew,12,8,For the Son of man is Lord even of the sabbath day.
Matthew,12,11,"What man shall there be among you, that shall have one sheep, and if it fall into a pit on the sabbath day, will he not lay hold on it, and lift it out?"
Matthew,12,12,How much then is a man better than a sheep? Wherefore it is lawful to do well on the sabbath days.
Matthew,12,13,"Stretch forth thine hand."
Matthew,12,25,"Every kingdom divided against itself is brought to desolation; and every city or house divided against itself shall not stand:"
Matthew,12,26,"And if Satan cast out Satan, he is divided against himself; how shall then his kingdom stand?"
Matthew,12,27,"And if I by Beelzebub cast out devils, by whom do your children cast them out? therefore they shall be your judges."
Matthew,12,28,"But if I cast out devils by the Spirit of God, then the kingdom of God is come unto you."
Matthew,12,29,"Or else how can one enter into a strong man's house, and spoil his goods, except he first bind the strong man? and then he will spoil his house."
Matthew,12,30,He that is not with me is against me; and he that gathereth not with me scattereth abroad.
Matthew,12,31,"Wherefore I say unto you, All manner of sin and blasphemy shall be forgiven unto men: but the blasphemy against the Holy Ghost shall not be forgiven unto men."
Matthew,12,32,"And whosoever speaketh a word against the Son of man, it shall be forgiven him: but whosoever speaketh against the Holy Ghost, it shall not be forgiven him, neither in this world, neither in the world to come."
Matthew,12,33,"Either make the tree good, and his fruit good; or else make the tree corrupt, and his fruit corrupt: for the tree is known by his fruit."
Matthew,12,34,"O generation of vipers, how can ye, being evil, speak good things? for out of the abundance of the heart the mouth speaketh."
Matthew,12,35,A good man out of the good treasure of the heart bringeth forth good things: and an evil man out of the evil treasure bringeth forth evil things.
Matthew,12,36,"But I say unto you, That every idle word that men shall speak, they shall give account thereof in the day of judgment."
Matthew,12,37,"For by thy words thou shalt be justified, and by thy words thou shalt be condemned."
Matthew,12,39,"An evil and adulterous generation seeketh after a sign; and there shall no sign be given to it, but the sign of the prophet Jonas:"
Matthew,12,40,For as Jonas was three days and three nights in the whale's belly; so shall the Son of man be three days and three nights in the heart of the earth.
Matthew,12,41,"The men of Nineveh shall rise in judgment with this generation, and shall condemn it: because they repented at the preaching of Jonas; and, behold, a greater than Jonas is here."
Matthew,12,42,"The queen of the south shall rise up in the judgment with this generation, and shall condemn it: for she came from the uttermost parts of the earth to hear the wisdom of Solomon; and, behold, a greater than Solomon is here."
Matthew,12,43,"When the unclean spirit is gone out of a man, he walketh through dry places, seeking rest, and findeth none."
Matthew,12,44,"Then he saith, I will return into my house from whence I came out; and when he is come, he findeth it empty, swept, and garnished."
Matthew,12,45,"Then goeth he, and taketh with himself seven other spirits more wicked than himself, and they enter in and dwell there: and the last state of that man is worse than the first. Even so shall it be also unto this wicked generation."
Matthew,12,48,"Who is my mother? and who are my brethren?"
Matthew,12,49,"Behold my mother and my brethren!"
Matthew,12,50,"For whosoever shall do the will of my Father which is in heaven, the same is my brother, and sister, and mother."
Matthew,13,3,"Behold, a sower went forth to sow;"
Matthew,13,4,"And when he sowed, some seeds fell by the way side, and the fowls came and devoured them up:"
Matthew,13,5,"Some fell upon stony places, where they had not much earth: and forthwith they sprung up, because they had no deepness of earth:"
Matthew,13,6,"And when the sun was up, they were scorched; and because they had no root, they withered away."
Matthew,13,7,"And some fell among thorns; and the thorns sprung up, and choked them:"
Matthew,13,8,"But other fell into good ground, and brought forth fruit, some an hundredfold, some sixtyfold, some thirtyfold."
Matthew,13,9,"Who hath ears to hear, let him hear."
Matthew,13,11,"Because it is given unto you to know the mysteries of the kingdom of heaven, but to them it is not given."
Matthew,13,12,"For whosoever hath, to him shall be given, and he shall have more abundance: but whosoever hath not, from him shall be taken away even that he hath."
Matthew,13,13,"Therefore speak I to them in parables: because they seeing see not; and hearing they hear not, neither do they understand."
Matthew,13,14,"And in them is fulfilled the prophecy of Esaias, which saith, By hearing ye shall hear, and shall not understand; and seeing ye shall see, and shall not perceive:"
Matthew,13,15,"For this people's heart is waxed gross, and their ears are dull of hearing, and their eyes they have closed; lest at any time they should see with their eyes and hear with their ears, and should understand with their heart, and should be converted, and I should heal them."
Matthew,13,16,"But blessed are your eyes, for they see: and your ears, for they hear."
Matthew,13,17,"For verily I say unto you, That many prophets and righteous men have desired to see those things which ye see, and have not seen them; and to hear those things which ye hear, and have not heard them."
Matthew,13,18,Hear ye therefore the parable of the sower.
Matthew,13,19,"When any one heareth the word of the kingdom, and understandeth it not, then cometh the wicked one, and catcheth away that which was sown in his heart. This is he which received seed by the way side."
Matthew,13,20,"But he that received the seed into stony places, the same is he that heareth the word, and anon with joy receiveth it;"
Matthew,13,21,"Yet hath he not root in himself, but dureth for a while: for when tribulation or persecution ariseth because of the word, by and by he is offended."
Matthew,13,22,"He also that received seed among the thorns is he that heareth the word; and the care of this world, and the deceitfulness of riches, choke the word, and he becometh unfruitful."
Matthew,13,23,"But he that received seed into the good ground is he that heareth the word, and understandeth it; which also beareth fruit, and bringeth forth, some an hundredfold, some sixty, some thirty."
Matthew,13,24,"The kingdom of heaven is likened unto a man which sowed good seed in his field:"
Matthew,13,25,"But while men slept, his enemy came and sowed tares among the wheat, and went his way."
Matthew,13,26,"But when the blade was sprung up, and brought forth fruit, then appeared the tares also."
Matthew,13,27,"So the servants of the householder came and said unto him, Sir, didst not thou sow good seed in thy field? from whence then hath it tares?"
Matthew,13,28,"He said unto them, An enemy hath done this. The servants said unto him, Wilt thou then that we go and gather them up?"
Matthew,13,29,"But he said, Nay; lest while ye gather up the tares, ye root up also the wheat with them."
Matthew,13,30,"Let both grow together until the harvest: and in the time of harvest I will say to the reapers, Gather ye together first the tares, and bind them in bundles to burn them: but gather the wheat into my barn."
Matthew,13,31,"The kingdom of heaven is like to a grain of mustard seed, which a man took, and sowed in his field:"
Matthew,13,32,"Which indeed is the least of all seeds: but when it is grown, it is the greatest among herbs, and becometh a tree, so that the birds of the air come and lodge in the branches thereof."
Matthew,13,33,"The kingdom of heaven is like unto leaven, which a woman took, and hid in three measures of meal, till the whole was leavened."
Matthew,13,37,"He that soweth the good seed is the Son of man;"
Matthew,13,38,The field is the world; the good seed are the children of the kingdom; but the tares are the children of the wicked one;
Matthew,13,39,The enemy that sowed them is the devil; the harvest is the end of the world; and the reapers are the angels.
Matthew,13,40,As therefore the tares are gathered and burned in the fire; so shall it be in the end of this world.
Matthew,13,41,"The Son of man shall send forth his angels, and they shall gather out of his kingdom all things that offend, and them which do iniquity;"
Matthew,13,42,And shall cast them into a furnace of fire: there shall be wailing and gnashing of teeth.
Matthew,13,43,"Then shall the righteous shine forth as the sun in the kingdom of their Father. Who hath ears to hear, let him hear."
Matthew,13,44,"Again, the kingdom of heaven is like unto treasure hid in a field; the which when a man hath found, he hideth, and for joy thereof goeth and selleth all that he hath, and buyeth that field."
Matthew,13,45,"Again, the kingdom of heaven is like unto a merchant man, seeking goodly pearls:"
Matthew,13,46,"Who, when he had found one pearl of great price, went and sold all that he had, and bought it."
Matthew,13,47,"Again, the kingdom of heaven is like unto a net, that was cast into the sea, and gathered of every kind:"
Matthew,13,48,"Which, when it was full, they drew to shore, and sat down, and gathered the good into vessels, but cast the bad away."
Matthew,13,49,"So shall it be at the end of the world: the angels shall come forth, and sever the wicked from among the just,"
Matthew,13,50,And shall cast them into the furnace of fire: there shall be wailing and gnashing of teeth.
Matthew,13,51,"Have ye understood all these things?"
Matthew,13,52,"Therefore every scribe which is instructed unto the kingdom of heaven is like unto a man that is an householder, which bringeth forth out of his treasure things new and old."
Matthew,13,57,"A prophet is not without honour, save in his own country, and in his own house."
Matthew,14,16,"They need not depart; give ye them to eat."
Matthew,14,18,"Bring them hither to me."
Matthew,14,27,"Be of good cheer; it is I; be not afraid."
Matthew,14,29,"Come."
Matthew,14,31,"O thou of little faith, wherefore didst thou doubt?"
Matthew,15,3,"Why do ye also transgress the commandment of God by your tradition?"
Matthew,15,4,"For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death."
